Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Src IP
69,22028011,2,1,44.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,2.9961851753206408,0.1361902352418473,11014005.5,2825112.915262769,13011662.0,9016349.0,13011662.0,13011662.0,0.0,13011662.0,13011662.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,0.0907934901612315,0.0453967450806157,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,29.33333333333333,22.0,22.0,16,-1,-1,2,0,0.0,0.0,0.0,0.0,11014005.5,2825112.915262769,13011662.0,9016349.0,No Label,192.168.77.1
80,21664419,711,721,3987.0,1031863.0,443.0,0.0,5.607594936708863,49.55980196091091,1460.0,0.0,1431.1553398058247,173.99390395587983,47813.42162926225,66.09916471796451,15139.35639412997,117928.42617374712,2294486.0,0.0,21611758.0,30439.095774647867,166744.8651954749,2294556.0,90.0,21664371.0,30089.40416666664,168897.86508067118,2294542.0,0.0,0,0,0,0,14220,14436,32.81878918608434,33.280375531880175,0.0,1460.0,722.8541521284016,724.4489345298788,524826.2587414766,0,1,0,0,0,0,0,0,1.0,723.358938547486,5.6075949367088604,1431.1553398058252,14220,-1,64240,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
80,21771890,770,791,4884.0,1129391.0,444.0,0.0,6.342857142857149,52.72197467292549,1460.0,0.0,1427.801517067005,190.5115360412177,52098.1412270593,71.6979554829645,13956.339743589737,100678.92023714782,1998135.0,0.0,21719334.0,28243.607282184672,142407.67345720527,1998214.0,32.0,21771826.0,27559.273417721543,145347.8330041594,1998202.0,0.0,0,0,0,0,15400,15836,35.3667044983233,36.33125098464121,0.0,1460.0,726.1683738796414,724.6518600022952,525120.318204786,0,1,0,0,0,0,0,0,1.0,726.6335682254964,6.342857142857143,1427.8015170670035,15400,-1,64240,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
49814,19005552,372,344,523840.0,3680.0,1460.0,0.0,1408.172043010753,231.2207320401761,1460.0,0.0,10.69767441860465,94.72859125104098,27756.09990175502,37.67320202012549,26581.191608391608,296000.3360442505,6806411.0,0.0,12198836.0,32880.95956873313,212504.42228523013,3001496.0,0.0,19005552.0,55409.7725947522,425847.7360013556,6806411.0,19.0,0,0,0,0,7440,6880,19.57322786520486,18.099974154920623,0.0,1460.0,737.768479776848,721.2610538328254,520217.5077760378,0,0,0,0,1,0,0,0,0.0,738.7988826815642,1408.1720430107528,10.69767441860465,7440,-1,0,367,0,12199141.0,0.0,12199141.0,12199141.0,6806411.0,0.0,6806411.0,6806411.0,No Label,163.181.199.174
443,246376,1,2,0.0,321.0,0.0,0.0,0.0,0.0,239.0,82.0,160.5,111.01576464628796,1302.886644803065,12.176510699094068,123188.0,174105.2458773141,246299.0,77.0,0.0,0.0,0.0,0.0,0.0,246299.0,246299.0,0.0,246299.0,246299.0,0,1,0,0,20,40,4.058836899698022,8.117673799396044,0.0,239.0,100.75,99.94456796978346,9988.916666666666,0,0,0,1,1,0,0,0,2.0,134.33333333333334,0.0,160.5,20,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
0,108668717,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1840456071640194,5719406.157894736,15899685.825125936,67666917.0,998953.0,84666425.0,4703690.277777778,15713549.858938988,67666917.0,998953.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1748433268058184,0.0092022803582009,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,-1,-1,0,0,16999508.0,0.0,16999508.0,16999508.0,45834604.5,30875552.435467653,67666917.0,24002292.0,No Label,8.6.0.1
49816,24377516,390,392,558808.0,2786.0,1460.0,0.0,1432.841025641025,166.61388135176375,1460.0,0.0,7.107142857142857,83.06610777488953,23037.37591639772,32.078740098047724,31213.208706786147,324771.9430640104,7989398.0,0.0,22970539.0,59050.22879177379,454568.0943127616,7989465.0,0.0,24377516.0,62346.588235294206,457189.49331891,7989480.0,38.0,0,0,0,0,7800,7840,15.998348642248866,16.08039145579886,0.0,1460.0,719.0983397190288,725.3536357988075,526137.8969665491,0,0,0,0,1,0,0,0,1.0,720.0179028132992,1432.8410256410257,7.107142857142857,7800,-1,0,389,0,24967.0,0.0,24967.0,24967.0,7989398.0,0.0,7989398.0,7989398.0,No Label,163.181.199.174
80,94275596,1800,2597,14018.0,3651163.0,335.0,0.0,7.787777777777779,50.39888104093683,1460.0,0.0,1405.9156719291514,264.5174929131712,38877.30394194485,46.63985364780935,21445.76797088265,189138.62851604848,3077830.0,0.0,94228781.0,52378.42190105619,292995.25696198904,3077830.0,39.0,91308903.0,35172.9210323575,238995.85349523905,3081951.0,0.0,0,0,0,0,36000,51956,19.092958054595595,27.546895593213755,0.0,1460.0,833.3744884038204,717.7337936508665,515141.7985484646,0,1,0,0,0,0,0,0,1.0,833.5640209233568,7.7877777777777775,1405.915671929149,36000,-1,64240,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
80,18849707,694,697,333.0,1011770.0,333.0,0.0,0.4798270893371752,12.640507139718704,1460.0,0.0,1451.6068866571004,110.32525246658692,53693.30143964572,73.79425048888028,13560.94028776978,131806.65210780906,4099911.0,0.0,18701119.0,26985.741702741703,185699.52947986824,4099985.0,61.0,18849612.0,27082.775862068956,185357.02767446465,4099938.0,0.0,0,0,0,0,13880,13956,36.81754841069944,36.97670207818085,0.0,1460.0,727.0854885057468,730.0617253415464,532990.1228086756,0,1,0,0,0,0,0,0,1.0,727.608195542775,0.4798270893371757,1451.6068866571018,13880,-1,64240,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
53,41917,0,2,0.0,173.0,0.0,0.0,0.0,0.0,133.0,40.0,86.5,65.76093065034893,4127.203759811055,47.71333826371162,41917.0,0.0,41917.0,41917.0,0.0,0.0,0.0,0.0,0.0,41917.0,41917.0,0.0,41917.0,41917.0,0,0,0,0,0,16,0.0,47.71333826371162,40.0,133.0,71.0,53.6935750346352,2883.0,0,0,0,0,0,0,0,0,0.0,106.5,0.0,86.5,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
