Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,21352953,22,16,1942,5453,213,0,88.27272727,96.85540613,1460,0,340.8125,546.760669,346.3221223,1.77961334,577106.8378,2401156.51,14538844,49,6746863,321279.1905,563777.6925,2406163,709,21352953,1423530.2,3842586.443,14538844,2843,0,0,0,0,440,340,1.03030246,0.74931088,0,1460,189.6153846,373.7744616,139707.3482,0,1,0,0,0,0,0,0,0,194.6052632,88.27272727,340.8125,440,-1,64240,12,0,0,0,0,0,0,0,0,0
443,21373285,12,10,856,4351,213,0,71.33333333,88.43521854,1460,0,435.1,623.6973002,243.6218859,1.029322353,1017775.476,3827001.145,17649636,48,3324252,302204.7273,447951.1853,1112409,1660,21373285,2374809.444,5744564.063,17649636,2338,0,0,0,0,240,216,0.561448556,0.467873797,0,1460,226.3913043,445.2974225,198289.7945,0,1,0,0,0,0,0,0,0,236.6818182,71.33333333,435.1,240,-1,64240,6,0,0,0,0,0,0,0,0,0
443,21507785,14,12,1073,4417,196,0,76.64285714,86.71758507,1460,0,368.0833333,585.7462153,255.2564106,1.208864604,860311.4,3155917.284,15888821,62,5422181,417090.8462,482412.4745,1312169,711,21507785,1955253.182,4684511.831,15888821,2845,0,0,0,0,280,256,0.650927095,0.55793751,0,1460,203.3333333,414.3394186,171677.1538,0,1,0,0,0,0,0,0,0,211.1538462,76.64285714,368.0833333,280,-1,64240,8,0,0,0,0,0,0,0,0,0
443,248642,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,124.6772468,8.043693342,248642,0,248642,248642,0,0,0,0,0,248642,248642,0,248642,248642,0,0,0,0,0,40,0,8.043693342,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,231850,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,133.7071382,8.626266983,231850,0,231850,231850,0,0,0,0,0,231850,231850,0,231850,231850,0,0,0,0,0,40,0,8.626266983,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,125729,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,246.5620501,15.90722904,125729,0,125729,125729,0,0,0,0,0,125729,125729,0,125729,125729,0,0,0,0,0,40,0,15.90722904,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,22115980,21,12,1007,5565,196,0,47.95238095,61.55930165,1460,0,463.75,588.6647641,297.1606956,1.492133742,691124.375,2234323.883,12514755,46,8500461,425023.05,673034.6902,2797447,5348,22115980,2010543.636,3989540.459,12514755,5367,0,0,0,0,432,256,0.949539654,0.542594088,0,1460,193.2941176,398.7217097,158979.0018,0,1,0,0,0,0,0,0,0,199.1515152,47.95238095,463.75,432,-1,64240,12,0,0,0,0,0,0,0,0,0
443,38802,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,798.9278903,51.54373486,38802,0,38802,38802,0,0,0,0,0,38802,38802,0,38802,38802,0,0,0,0,0,40,0,51.54373486,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,80759,1,1,0,0,0,0,0,0,0,0,0,0,0,24.76504167,80759,0,80759,80759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12.38252083,12.38252083,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
443,730897,1,1,0,0,0,0,0,0,0,0,0,0,0,2.736363674,730897,0,730897,730897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.368181837,1.368181837,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0
