No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
3664,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#17] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.50E-05,54,0
3665,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Retransmission] 80  >  49961 [ACK] Seq=227686 Ack=879 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001218,1514,0
3666,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP ACKed unseen segment] 49961  >  80 [ACK] Seq=879 Ack=229146 Win=64239 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.80E-05,54,0
3667,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Retransmission] 80  >  49961 [ACK] Seq=229146 Ack=879 Win=64240 Len=1460,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000415,1514,0
3668,31:41.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=236445 Win=56940 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.40E-05,54,0
3669,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=230606 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002477,1514,0
3670,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3668#1] 49961  >  80 [ACK] Seq=879 Ack=236445 Win=56940 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.60E-05,54,0
3671,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=232066 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000453,1514,0
3672,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3668#2] 49961  >  80 [ACK] Seq=879 Ack=236445 Win=56940 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.30E-05,54,0
3673,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=233526 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002409,1514,0
3674,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3668#3] 49961  >  80 [ACK] Seq=879 Ack=236445 Win=56940 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,6.40E-05,54,0
